GROUPED BY YEAR AND SORTED BY POSITION,,,,,,,,,,,,,,,SORTED ALPHABETICALLY,,,,,,,,,,,,,,,GROUPED BY POSITION AND SORTED BY YEAR,,,,,,,,,,,,,
#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge,,#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge,,#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge
1,Maeda Atsuko,4630,2009,13,NEW,AKB48,Senbatsu Center,1991/07/10,26,17,A,Chiba,"26 Years, 6 Months, 27 Days",,74,Abiru Riho,10092,2014,37,NEW,SKE48,Upcoming Girls Member,1993/07/17,24,20,B,Aichi,"24 Years, 6 Months, 20 Days",,1,Maeda Atsuko,4630,2009,13,NEW,AKB48,Senbatsu Center,1991/07/10,26,17,A,Chiba,"26 Years, 6 Months, 27 Days"
2,Oshima Yuko,3345,2009,13,NEW,AKB48,Senbatsu Member,1988/10/17,29,20,B,Tochigi,"29 Years, 3 Months, 20 Days",,12,Akimoto Sayaka,1599,2009,13,NEW,AKB48,Senbatsu Member,1988/07/26,29,20,B,Chiba,"29 Years, 6 Months, 11 Days",,1,Oshima Yuko,31448,2010,17,1,AKB48,Senbatsu Center,1988/10/17,29,21,B,Tochigi,"29 Years, 3 Months, 20 Days"
3,Shinoda Mariko,2852,2009,13,NEW,AKB48,Senbatsu Member,1986/03/11,31,23,A,Fukuoka,"31 Years, 10 Months, 26 Days",,17,Akimoto Sayaka,8049,2010,17,-5,AKB48,Senbatsu Member,1988/07/26,29,21,B,Chiba,"29 Years, 6 Months, 11 Days",,1,Maeda Atsuko,139892,2011,22,1,AKB48,Senbatsu Center,1991/07/10,26,19,A,Chiba,"26 Years, 6 Months, 27 Days"
4,Watanabe Mayu,2625,2009,13,NEW,AKB48,Senbatsu Member,1994/03/26,23,15,A,Saitama,"23 Years, 10 Months, 11 Days",,17,Akimoto Sayaka,17154,2011,22,0,AKB48,Senbatsu Member,1988/07/26,29,22,B,Chiba,"29 Years, 6 Months, 11 Days",,1,Oshima Yuko,108837,2012,27,1,AKB48,Senbatsu Center,1988/10/17,29,23,B,Tochigi,"29 Years, 3 Months, 20 Days"
5,Takahashi Minami,2614,2009,13,NEW,AKB48,Senbatsu Member,1991/04/08,26,18,AB,Tokyo,"26 Years, 9 Months, 29 Days",,20,Akimoto Sayaka,19121,2012,27,-3,AKB48,Undergirls Member,1988/07/26,29,23,B,Chiba,"29 Years, 6 Months, 11 Days",,1,Sashihara Rino,150570,2013,32,3,HKT48,Senbatsu Center,1992/11/21,25,20,O,Oita,"25 Years, 2 Months, 16 Days"
6,Kojima Haruna,2543,2009,13,NEW,AKB48,Senbatsu Member,1988/04/19,29,21,O,Saitama,"29 Years, 9 Months, 18 Days",,72,Akiyoshi Yuka,14544,2016,45,NEW,HKT48,Upcoming Girls Member,2000/10/24,17,15,B,Fukuoka,"17 Years, 3 Months, 13 Days",,1,Watanabe Mayu,159854,2014,37,2,AKB48,Senbatsu Center,1994/03/26,23,20,A,Saitama,"23 Years, 10 Months, 11 Days"
7,Itano Tomomi,2281,2009,13,NEW,AKB48,Senbatsu Member,1991/07/03,26,17,A,Kanagawa,"26 Years, 7 Months, 3 Days",,83,Akiyoshi Yuka,15107,2017,49,-11,HKT48,No Membership,2000/10/24,17,16,B,Fukuoka,"17 Years, 3 Months, 13 Days",,1,Sashihara Rino,194049,2015,41,1,HKT48,Senbatsu Center,1992/11/21,25,22,O,Oita,"25 Years, 2 Months, 16 Days"
8,Sato Amina,2117,2009,13,NEW,AKB48,Senbatsu Member,1990/10/16,27,18,O,Tokyo,"27 Years, 3 Months, 21 Days",,39,Anai Chihiro,18825,2014,37,-6,AKB48,Next Girls Member,1996/01/27,21,18,AB,Fukuoka,"22 Years, 0 Months, 10 Days",,1,Sashihara Rino,243011,2016,45,0,HKT48,Senbatsu Center,1992/11/21,25,23,O,Oita,"25 Years, 2 Months, 16 Days"
9,Kashiwagi Yuki,1920,2009,13,NEW,AKB48,Senbatsu Member,1991/07/15,26,17,A,Kagoshima,"26 Years, 6 Months, 22 Days",,33,Anai Chihiro,22146,2015,41,NEW,HKT48,Next Girls Center,1996/01/27,21,19,AB,Fukuoka,"22 Years, 0 Months, 10 Days",,1,Sashihara Rino,246376,2017,49,0,HKT48,Senbatsu Center,1992/11/21,25,24,O,Oita,"25 Years, 2 Months, 16 Days"
10,Kasai Tomomi,1890,2009,13,NEW,AKB48,Senbatsu Member,1991/11/16,26,17,A,Tokyo,"26 Years, 2 Months, 21 Days",,93,Aoki Shiori,9813,2016,45,NEW,SKE48,No Membership,1996/04/22,21,20,O,Shizuoka,"21 Years, 9 Months, 15 Days",,2,Oshima Yuko,3345,2009,13,NEW,AKB48,Senbatsu Member,1988/10/17,29,20,B,Tochigi,"29 Years, 3 Months, 20 Days"
