trainee name (rom),final ranking,age (years),height (cm),agency (name),training period (months),debut year,ep 4 votes w/ bonus,ep 4 bonus,ep 4 is center,ep 4 is leader,ep 4 position,ep 5 votes,ep 7 votes w/ bonus,ep 7 bonus 1,ep 7 bonus 2,ep 7 is center,ep 7 is leader,ep 7 position,ep 8 votes,ep 9 votes,ep 9 is center,ep 9 is leader,ep 9 position,ep 10 votes,ep 11 is center,ep 11 is leader,ep 11 position,ep 11 votes
kang daniel,1,22,180,mmo,25,,3033,y,n,n,vocal,817245,355,n,n,n,y,dancer,1948847,552,n,y,vocal,828148,n,n,vocal,1578837
park jihoon,2,19,173,maroo,21,,3113,y,y,n,vocal,1044197,498,n,n,n,n,dancer,2181840,398,n,n,rapper,630198,n,n,rapper,1136014
lee daehwi,3,17,172,bnm,28,,3105,y,n,n,vocal,809484,546,n,n,n,n,vocal,2095314,443,n,n,vocal,325990,n,n,vocal,1102005
kim jaehwan,4,22,175,none,50,,3075,y,n,n,main vocal,569969,10622,y,n,y,n,vocal,1822842,443,n,n,main vocal,259776,n,n,main vocal,1051735
ong seongwoo,5,23,179,fantagio,8,,3097,y,y,n,vocal,819186,419,n,n,n,n,rapper,1998849,443,n,n,vocal,358656,n,y,vocal,984756
park woojin,6,19,174,bnm,14,,3031,y,n,n,rapper,403690,10542,y,n,n,n,dancer,1396889,443,n,n,rapper,372493,n,n,rapper,937379
lai guanlin,7,17,181,cube,6,,79,n,n,n,rapper,717275,642,n,n,y,n,rapper,2202665,443,n,n,rapper,188940,n,n,rapper,905875
yoon jisung,8,27,175,mmo,63,,66,n,y,n,vocal,844829,358,n,n,n,y,vocal,1372652,135,n,n,rapper,333974,n,n,vocal,902098
hwang minhyun,9,23,181,pledis,75,2012,3108,y,n,n,vocal,680322,621,n,n,n,n,vocal,2004207,443,y,n,vocal,315650,n,n,vocal,862719
bae jinyoung,10,18,175,c9,10,,3066,y,n,n,vocal,667298,501,n,n,y,n,vocal,1502905,398,n,n,vocal,389982,y,n,vocal,807749
ha sungwoon,11,24,168,ardor & able,27,2014,3039,y,n,n,vocal,459912,416,n,n,n,n,vocal,838649,135,n,n,vocal,413654,y,n,main vocal,790302
jung sewoon,12,21,176,starship,30,,3046,y,n,n,vocal,634134,10584,y,n,n,y,vocal,1284267,398,n,n,main vocal,"196,223",n,n,none,769859
kang dongho,13,23,175,pledis,86,2012,86,n,n,n,vocal,472132,551,n,n,y,n,vocal,1585712,552,n,n,main vocal,314807,n,n,vocal,755436
kim jonghyun,14,23,176,pledis,98,2012,3067,y,n,y,vocal,752149,110655,n,y,n,y,rapper,2795491,443,n,y,vocal,367052,n,y,rapper,704148
lim youngmin,15,23,181,bnm,14,,3033,y,n,n,rapper,312983,10651,y,n,y,n,dancer,2011798,552,n,n,rapper,197721,n,n,rapper,654505
ahn hyeongseop,16,19,173,yuehua,17,,3163,y,n,n,vocal,810639,413,n,n,n,n,dancer,1171439,398,n,n,vocal,254984,n,n,vocal,609085
yu seonho,17,16,178,cube,6,,93,n,n,n,vocal,575027,10642,y,n,n,n,rapper,1502513,552,n,n,vocal,209168,n,n,vocal,511745
kim samuel,18,16,174,brave,63,2015,3034,y,n,n,vocal,863861,350,n,n,y,n,dancer,1306508,135,y,n,vocal,378491,n,n,vocal,391529
joo haknyeon,19,19,174,cre.ker,25,,3093,y,n,n,rapper,703391,10581,y,n,n,n,dancer,1629176,552,n,n,vocal,196223,n,n,vocal,349040
choi minki,20,23,178,pledis,86,2012,3257,y,n,n,rapper,476249,427,n,n,n,n,vocal,1102561,398,y,n,vocal,217734,n,n,vocal,277106
kim yongguk,21,22,175,chun,18,,15,n,n,n,vocal,195419,10633,y,n,n,n,vocal,1190935,552,y,n,none,184303,n,n,none,0
kwon hyunbin,22,21,187,yg k plus,3,,3142,y,n,n,vocal,408701,349,n,n,n,n,vocal,645510,83,n,y,rapper,160693,n,n,none,0
lee euiwoong,23,17,170,yuehua,9,,3044,y,n,n,main rapper,520973,542,n,n,n,y,rapper,855494,398,n,n,rapper,156572,n,n,none,0
takada kenta,24,23,173,star road,15,,3133,y,y,n,rapper,287263,567,n,n,n,y,vocal,783860,552,n,n,rapper,146716,n,n,none,0
noh taehyun,25,25,168,ardor & able,45,2014,3027,y,n,n,main vocal,353043,110621,n,y,y,y,none,945314,135,n,y,vocal,143523,n,n,none,0
kim sangkyun,26,23,178,hunus,62,2013,109,n,y,n,vocal,152329,563,n,n,n,n,rapper,830779,135,n,n,rapper,140890,n,n,none,0
jang moonbok,27,23,168,ono,24,,3123,y,n,n,rapper,597046,227,n,n,n,n,rapper,745093,83,n,n,rapper,130324,n,n,none,0
kim donghyun,28,20,179,bnm,11,,3045,y,n,n,vocal,163092,456,n,n,n,y,dancer,821551,83,n,n,vocal,125155,n,n,none,0
kim donghan,29,20,181,oui,18,,3076,y,y,n,vocal,175107,525,n,n,n,n,dancer,629883,83,n,n,vocal,120594,n,n,none,0
kim taedong,30,21,177,thevibe,25,,3180,y,y,n,vocal,359771,534,n,n,n,n,dancer,877168,83,y,n,vocal,110901,n,n,none,0
seo sunghyuk,31,19,170,wh,6,,23,n,n,n,vocal,120808,636,n,n,n,n,vocal,844163,83,n,n,main vocal,54415,n,n,none,0
kim yehyeon,32,19,176,widmay,9,,31,n,n,n,rapper,159576,470,n,n,n,n,rapper,691611,83,n,n,vocal,53277,n,n,none,0
lee keonhee,33,20,181,rbw,6,,3094,y,n,n,main vocal,269787,110717,n,y,y,y,vocal,699975,398,n,n,vocal,50148,n,n,none,0
lee woojin,34,15,165,media line,37,2016,3087,y,n,n,main vocal,511463,629,n,n,y,n,vocal,836127,135,n,n,vocal,47796,n,n,none,0
park woodam,35,23,173,hf music,7,,3270,y,n,n,main vocal,112521,355,n,n,n,n,dancer,826392,135,n,n,main vocal,31975,n,n,none,0
jeong dongsu,36,27,170,s how,62,2012,3045,y,n,n,rapper,180209,709,n,n,n,n,vocal,587830,0,n,n,none,0,n,n,none,0
park sungwoo,37,30,183,him,39,,3076,y,n,n,vocal,452876,474,n,n,n,n,dancer,562716,0,n,n,none,0,n,n,none,0
hong eunki,38,21,180,gon,73,,3034,y,y,n,rapper,176813,566,n,n,n,y,dancer,557008,0,n,n,none,0,n,n,none,0
yoo hoeseung,39,23,174,fnc,5,,37,n,n,y,main vocal,109060,402,n,n,n,n,dancer,527138,0,n,n,none,0,n,n,none,0
woo jinyoung,40,21,171,hf music,11,,3064,y,n,n,rapper,153419,584,n,n,n,n,rapper,522149,0,n,n,none,0,n,n,none,0
joo jinwoo,41,25,175,mmo,51,,70,n,n,y,main vocal,141432,499,n,n,n,n,vocal,496934,0,n,n,none,0,n,n,none,0
yeo hwanwoong,42,20,168,rbw,15,,3052,y,n,y,vocal,126568,548,n,n,y,n,dancer,472798,0,n,n,none,0,n,n,none,0
justin huang,43,16,180,yuehua,15,,3106,y,y,n,vocal,261653,528,n,n,n,n,dancer,458650,0,n,n,none,0,n,n,none,0
lee gwanghyun,44,20,172,starship,10,,3039,y,n,n,vocal,145251,10473,y,n,n,n,rapper,442392,0,n,n,none,0,n,n,none,0
